Price,Target_close
2020-03-07,8108.1162109375
2020-03-08,7923.64453125
2020-03-09,7909.7294921875
2020-03-10,7911.43017578125
2020-03-11,4970.7880859375
2020-03-12,5563.70703125
2020-03-13,5200.3662109375
2020-03-14,5392.31494140625
2020-03-15,5014.47998046875
2020-03-16,5225.62939453125
2020-03-17,5238.4384765625
2020-03-18,6191.19287109375
2020-03-19,6198.7783203125
2020-03-20,6185.06640625
2020-03-21,5830.2548828125
2020-03-22,6416.31494140625
2020-03-23,6734.8037109375
2020-03-24,6681.06298828125
2020-03-25,6716.4404296875
2020-03-26,6469.79833984375
2020-03-27,6242.19384765625
2020-03-28,5922.04296875
2020-03-29,6429.841796875
2020-03-30,6438.64453125
2020-03-31,6606.7763671875
2020-04-01,6793.62451171875
2020-04-02,6733.38720703125
2020-04-03,6867.52734375
2020-04-04,6791.12939453125
2020-04-05,7271.78125
2020-04-06,7176.41455078125
2020-04-07,7334.0986328125
2020-04-08,7302.08935546875
2020-04-09,6865.4931640625
2020-04-10,6859.0830078125
2020-04-11,6971.091796875
2020-04-12,6845.03759765625
2020-04-13,6842.427734375
2020-04-14,6642.10986328125
2020-04-15,7116.80419921875
2020-04-16,7096.1845703125
2020-04-17,7257.6650390625
2020-04-18,7189.4248046875
2020-04-19,6881.95849609375
2020-04-20,6880.3232421875
2020-04-21,7117.20751953125
2020-04-22,7429.724609375
2020-04-23,7550.90087890625
2020-04-24,7569.93603515625
2020-04-25,7679.8671875
2020-04-26,7795.60107421875
2020-04-27,7807.05859375
2020-04-28,8801.0380859375
2020-04-29,8658.5537109375
2020-04-30,8864.7666015625
2020-05-01,8988.5966796875
2020-05-02,8897.46875
2020-05-03,8912.654296875
2020-05-04,9003.0703125
2020-05-05,9268.76171875
2020-05-06,9951.5185546875
2020-05-07,9842.666015625
2020-05-08,9593.896484375
2020-05-09,8756.4306640625
2020-05-10,8601.7958984375
2020-05-11,8804.4775390625
2020-05-12,9269.9873046875
2020-05-13,9733.7216796875
2020-05-14,9328.197265625
2020-05-15,9377.013671875
2020-05-16,9670.7392578125
2020-05-17,9726.5751953125
2020-05-18,9729.0380859375
2020-05-19,9522.9814453125
2020-05-20,9081.76171875
2020-05-21,9182.5771484375
2020-05-22,9209.287109375
2020-05-23,8790.3681640625
2020-05-24,8906.9345703125
2020-05-25,8835.052734375
2020-05-26,9181.017578125
2020-05-27,9525.7509765625
2020-05-28,9439.1240234375
2020-05-29,9700.4140625
2020-05-30,9461.05859375
2020-05-31,10167.2685546875
2020-06-01,9529.8037109375
2020-06-02,9656.7177734375
2020-06-03,9800.63671875
2020-06-04,9665.533203125
2020-06-05,9653.6796875
2020-06-06,9758.8525390625
2020-06-07,9771.4892578125
2020-06-08,9795.7001953125
2020-06-09,9870.0947265625
2020-06-10,9321.78125
2020-06-11,9480.84375
2020-06-12,9475.27734375
2020-06-13,9386.7880859375
2020-06-14,9450.7021484375
2020-06-15,9538.0244140625
2020-06-16,9480.2548828125
2020-06-17,9411.8408203125
2020-06-18,9288.0185546875
2020-06-19,9332.3408203125
2020-06-20,9303.6298828125
2020-06-21,9648.7177734375
2020-06-22,9629.658203125
2020-06-23,9313.6103515625
2020-06-24,9264.8134765625
2020-06-25,9162.91796875
2020-06-26,9045.390625
2020-06-27,9143.58203125
2020-06-28,9190.8544921875
2020-06-29,9137.9931640625
2020-06-30,9228.3251953125
2020-07-01,9123.41015625
2020-07-02,9087.3037109375
2020-07-03,9132.48828125
2020-07-04,9073.9423828125
2020-07-05,9375.474609375
2020-07-06,9252.27734375
2020-07-07,9428.3330078125
2020-07-08,9277.9677734375
2020-07-09,9278.8076171875
2020-07-10,9240.3466796875
2020-07-11,9276.5
2020-07-12,9243.6142578125
2020-07-13,9243.2138671875
2020-07-14,9192.8369140625
2020-07-15,9132.2275390625
2020-07-16,9151.392578125
2020-07-17,9159.0400390625
2020-07-18,9185.8173828125
2020-07-19,9164.2314453125
2020-07-20,9374.8876953125
2020-07-21,9525.36328125
2020-07-22,9581.072265625
2020-07-23,9536.892578125
2020-07-24,9677.11328125
2020-07-25,9905.1669921875
2020-07-26,10990.873046875
2020-07-27,10912.8232421875
2020-07-28,11100.4677734375
2020-07-29,11111.2138671875
