BTC_Close,BTC_Volume,SMA_14,RSI_14,MACD,MACD_Signal,BB_High,BB_Low,BTC_Close_Lag1,ETH_Close
-1.293238933351253,0.10646145469904589,-1.2915397066722254,-0.7761547697377539,0.03196917009114186,-0.301472775230306,-1.3053792105658248,-1.2455778692564174,-1.2845075063708793,-1.7034822862284713
-1.3241800910001382,0.29329622004688244,-1.2966014301913962,-1.6277390395829727,-0.07487331158894418,-0.3124857342104865,-1.3050893568476976,-1.2525712457094802,-1.2927198206798929,-1.7377971193451711
-1.3312984467048263,0.6396854506701989,-1.301412717193561,-1.7716067575681513,-0.15942746361478355,-0.32870397544556795,-1.308397097240216,-1.2580825532985407,-1.3236944155583623,-1.7365993035943914
-1.3318353974056565,0.4047572055323849,-1.3054031746040307,-1.7824996261988288,-0.20133319121443782,-0.3472200258556141,-1.3091356190612806,-1.264482824894528,-1.3308204638677248,-1.737724927481013
-1.3317697717725947,0.2291137766783867,-1.3079365236930285,-1.7790083932491143,-0.21167541692758987,-0.3658924157209537,-1.3107621605687598,-1.2697442196194808,-1.3313579948359147,-1.7431714119584756
-1.445242671413047,0.9900274659462268,-1.3185641012416474,-2.9604533956370864,-0.6134205219638841,-0.41280960531741584,-1.2889840107456019,-1.3147743070522357,-1.3312922982830968,-1.8193662755350604
-1.4223632355888993,1.9936172857391419,-1.327227186564302,-2.273883359509017,-0.7430170391719378,-0.46858403837034085,-1.2840826937240404,-1.3376952937748587,-1.4448878248607797,-1.8001104201337286
-1.4363837573589562,0.10335642069117514,-1.3366995084553492,-2.382106388194237,-0.8275246722193961,-0.530053991127554,-1.2825486174164231,-1.3593515523396262,-1.4219836638806733,-1.8092475445986778
-1.4289768787375086,-0.0039152750560032526,-1.3455336711520425,-2.1712152279118415,-0.7996744852099111,-0.5892352405088696,-1.2840194731667587,-1.3755705548962196,-1.4360193372300807,-1.8074855643638068
-1.4435566974618586,0.561643751565644,-1.3562768510089673,-2.2953347459488116,-0.7808712904825599,-0.6468175938225676,-1.2845306499195879,-1.3931912330879674,-1.4286044542054437,-1.8209740308985405
-1.4354089067620635,0.2261233797578388,-1.3662034411639399,-2.0594415669945376,-0.684443262013324,-0.6972845263474492,-1.2856702876684178,-1.4070030485296041,-1.443200028925465,-1.817892978223023
-1.434914632506506,0.18912413169223846,-1.3760036578401291,-2.044706839822956,-0.570653393252919,-0.7394236792835975,-1.2883499333488238,-1.418828509404651,-1.4350434331398576,-1.817062419561043
-1.398149939460033,0.8418186890500041,-1.38405039028198,-1.0763096907048706,-0.3189776708940577,-0.76339769468647,-1.2934384708491806,-1.423387060848266,-1.4345486247361618,-1.796978428799963
-1.397857233686386,1.0130384707360298,-1.3921979942727147,-1.0694892464432697,-0.12576599768266822,-0.7734086386521004,-1.2988501758952453,-1.4272329817943286,-1.3977442011309316,-1.8005394432515036
-1.398386346240976,0.4187069906104202,-1.3997913837154112,-1.0778447077204159,0.017965119185225996,-0.7730128286938863,-1.3047315033994902,-1.4304376050357641,-1.397451179038475,-1.8004641518147235
-1.412077741235747,0.2995915384695231,-1.4061390538196379,-1.2923823750939636,0.07531075255208082,-0.7684034590984465,-1.3130783439342129,-1.4335774324390473,-1.397980863389963,-1.8092335753884294
-1.3894629747390803,0.6175468513192502,-1.4103394987091182,-0.7323783846602998,0.2071318073485211,-0.75426642329752,-1.3218722706407362,-1.4333891205036136,-1.4116870542861337,-1.7985317091746127
-1.3771731947939287,0.7035980678298042,-1.4136136406264688,-0.4624030670213366,0.34075453950030055,-0.7304836083577698,-1.3308260425470912,-1.4315386105565078,-1.3890478486541276,-1.794977020669014
-1.3792469308836213,0.5229495070291403,-1.4170422799895788,-0.5026360559256359,0.4155676343443548,-0.7012704715632512,-1.3434639664221582,-1.4270156124447282,-1.37674478749312,-1.7973458831342932
-1.377881793360734,0.061837408240808064,-1.4121777059007268,-0.4704328593116369,0.46112478222937975,-0.6687274900659885,-1.3581513244231216,-1.4201580925197397,-1.3788207646104598,-1.7953462502131188
-1.3873991682240716,0.02531779243073306,-1.4096527195724349,-0.6700147164864272,0.44538590151654794,-0.6372456865096209,-1.3735702137621086,-1.4125979594754086,-1.377454151822255,-1.799430726124638
-1.3961819241360909,0.040221487926482745,-1.4067494795631756,-0.8466354498624367,0.3936938189984366,-0.6094026421505351,-1.3835334826322874,-1.4089297791314406,-1.3869818118420807,-1.8021558985517747
-1.4085358412201867,-0.2836670850202398,-1.4052732971805946,-1.080257155280741,0.30830340146475543,-0.5876139338691705,-1.3936429814573486,-1.4056635298275553,-1.3957740590287686,-1.807144456396763
-1.3889410031879155,0.15046814032216344,-1.401329137025744,-0.561258295069932,0.32154361423216876,-0.5648300581968303,-1.404049744718886,-1.3998578213091792,-1.4081413266399032,-1.8003849013783673
-1.388601325061922,-0.06417224437317309,-1.3979488522716836,-0.5527059629981533,0.32526009925359356,-0.5417364206040632,-1.4164665646651178,-1.391697858773218,-1.388525313023144,-1.7997487000087489
-1.3821134879288028,0.31186563956588803,-1.394135732739973,-0.3846034424235755,0.34438094079249715,-0.5172350605496392,-1.4156300603859286,-1.3857798590116601,-1.388185267816655,-1.7978641880325463
-1.3749034296814473,0.6756803534452791,-1.3924569486683445,-0.201231363418018,0.3739806923179858,-0.4905799041908714,-1.4124922731582537,-1.384231998603882,-1.3816904194623598,-1.7919598403229582
-1.3772278545589336,0.2437247361758999,-1.390967164893635,-0.2622445657027888,0.37311858554363914,-0.4639527115488635,-1.4113840580950827,-1.3790615498381185,-1.3744725695099984,-1.7919024418735867
-1.3720516822106514,-0.04429983496229651,-1.3890653647986146,-0.12243885120057056,0.37957816518608706,-0.4368325831840694,-1.409495160416502,-1.3750371532492354,-1.3767995063273792,-1.7890141755706703
-1.374999710756654,-0.22712584364535354,-1.3863877152259028,-0.2086014948584013,0.3599172963526231,-0.41109021449553185,-1.4112857360593019,-1.3654892901826847,-1.3716177402367706,-1.7905586785192131
