Price,BTC_Close,BTC_Volume,MACD_Signal,SMA_14,RSI_14,MACD,BB_High,BB_Low,BTC_Close_Lag1,ETH_Close,Target_close
2020-03-07,8909.9541015625,36216930370.0,-134.0888761790985,8991.41392299107,42.73604608315405,16.760787330126448,10176.43756836876,8253.904326162492,9122.5458984375,237.85308837890625,8108.1162109375
2020-03-08,8108.1162109375,39973102121.0,-151.62483110107178,8861.671107700893,31.10569810759786,-31.91021268310527,10184.40157557359,8087.737682238911,8909.9541015625,200.6890563964844,7923.64453125
2020-03-09,7923.64453125,46936995808.0,-177.4491665702135,8738.34751674107,29.14085248765595,-70.42799203131247,10093.518255228775,7956.785846333722,8108.1162109375,201.986328125,7909.7294921875
2020-03-10,7909.7294921875,42213940994.0,-206.93230783205763,8636.063546316964,28.99208523453392,-89.51771773297043,10073.226664208729,7804.7117146975215,7923.64453125,200.76724243164065,7911.43017578125
2020-03-11,7911.43017578125,38682762605.0,-236.6643886972805,8571.128383091518,29.039766075416864,-94.22901290232898,10028.535885811263,7679.697952079361,7909.7294921875,194.8685302734375,4970.7880859375
2020-03-12,4970.7880859375,53980357243.0,-311.3707163345559,8298.720807756696,12.90440874401456,-277.2398874633017,10626.9113119397,6609.757193919676,7911.43017578125,112.3471221923828,5563.70703125
2020-03-13,5563.70703125,74156772075.0,-400.18044908439,8076.667375837053,22.281106638177132,-336.27625569026344,10761.579669223602,6065.141375698275,4970.7880859375,133.20181274414062,5200.3662109375
2020-03-14,5200.3662109375,36154506008.0,-498.0591683773822,7833.871477399553,20.803071489868813,-374.7728437935482,10803.729878113616,5550.576225402008,5563.70703125,123.30602264404295,5392.31494140625
2020-03-15,5392.31494140625,33997889639.0,-592.2935810583423,7607.432965959822,23.683276850518386,-362.0859758830306,10763.316714299095,5165.203402888403,5200.3662109375,125.21430206298828,5014.47998046875
2020-03-16,5014.47998046875,45368026430.0,-683.9820685781244,7332.062255859375,21.988138463813968,-353.5203727967604,10749.271645742543,4746.525961679332,5392.31494140625,110.60587310791016,5225.62939453125
2020-03-17,5225.62939453125,38622642935.0,-764.3406584356972,7077.622488839285,25.20980407395612,-309.59357045090246,10717.959012248615,4418.349288532634,5014.47998046875,113.9427490234375,5238.4384765625
2020-03-18,5238.4384765625,37878801016.0,-831.4389094750675,6826.421944754465,25.41104076937033,-257.75775929362976,10644.333192842189,4137.369541532814,5225.62939453125,114.84226989746094,6191.19287109375
2020-03-19,6191.19287109375,51000731797.0,-869.6127784743124,6620.166957310268,38.63673812146797,-143.10945747922756,10504.520774437902,4029.055739233972,5238.4384765625,136.59385681152344,6198.7783203125
2020-03-20,6198.7783203125,54442976103.0,-885.5532230381782,6411.326416015625,38.72988702395383,-55.093855430732674,10355.829019660054,3937.674447136821,6191.19287109375,132.73716735839844,6185.06640625
2020-03-21,6185.06640625,42494390880.0,-884.9229741107645,6216.69158063616,38.615773922537386,10.381385138140786,10194.233940182216,3861.530757083409,6198.7783203125,132.81871032714844,5830.2548828125
2020-03-22,5830.2548828125,40099664740.0,-877.583466391739,6053.987200055803,35.68576709435584,36.504602031531135,9964.896539973875,3786.926653385496,6185.06640625,123.32115173339844,6416.31494140625
2020-03-23,6416.31494140625,46491916000.0,-855.0730381788021,5946.32080078125,43.33391362203576,96.55433560990788,9723.27502101625,3791.401053202501,5830.2548828125,134.91160583496094,6734.8037109375
2020-03-24,6734.8037109375,48221910672.0,-817.2036180300802,5862.397530691965,47.02104947005131,157.42480488448564,9477.261602822902,3835.3702331145982,6416.31494140625,138.76144409179688,6681.06298828125
