Date,Predicted_Close
2025-06-18,67752.484
2025-06-19,65962.44
2025-06-20,66119.734
2025-06-21,65588.2
2025-06-22,66119.734
2025-06-23,65588.2
2025-06-24,66119.734
2025-06-25,65588.2
2025-06-26,66119.734
2025-06-27,65588.2
2025-06-28,66119.734
2025-06-29,65588.2
2025-06-30,66119.734
2025-07-01,65588.2
2025-07-02,66119.734
2025-07-03,65588.2
2025-07-04,66119.734
2025-07-05,65588.2
2025-07-06,66119.734
2025-07-07,65588.2
2025-07-08,66119.734
2025-07-09,65588.2
2025-07-10,66119.734
2025-07-11,65588.2
2025-07-12,66119.734
2025-07-13,65588.2
2025-07-14,66119.734
2025-07-15,65588.2
2025-07-16,66119.734
2025-07-17,65588.2
