,BTC_Close,BTC_Volume,MACD_Signal,SMA_14,RSI_14,MACD,BB_High,BB_Low,BTC_Close_Lag1,ETH_Close
2025-06-18,67752.484,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-19,65962.44,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-20,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-21,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-22,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-23,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-24,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-25,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-26,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-27,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-28,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-29,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-06-30,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-01,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-02,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-03,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-04,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-05,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-06,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-07,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-08,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-09,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-10,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-11,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-12,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-13,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-14,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-15,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-16,66119.734,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
2025-07-17,65588.2,55964092176.0,944.5868037937908,106127.703125,47.3504258892256,-406.04300901843817,109771.62822613712,101931.60849261288,106796.7578125,2510.761474609375
